128 0 0 0.0 0.0 29.11 0.0823483 0.100284 1.2263704 -6.3664795 5.3394743 0.4345496 0.0862909 0.0 81.3792064 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 26.66 0.0674131 0.0701384 1.1998744 -0.8168048 1.3968233 0.1140529 0.0961045 0.0 92.9667076 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 26.88 0.0587911 0.0652765 1.1090553 0.2125569 0.5990553 0.0429934 0.0171821 0.0 94.1466174 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 28.48 0.0542583 0.0599143 1.0936589 0.2930236 0.3988197 0.0364638 0.009347 0.0 95.3041373 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 35.0 0.2 34.35 0.0413284 0.060027 1.0375607 0.826233 1.1364726 0.0275031 0.0063472 0.0 94.4222348 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 35.0} 
768 1 1 35.0 0.2 37.02 0.035459 0.057799 1.0516805 0.4576543 0.4001463 0.0229171 0.0074664 0.0 95.7587928 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 35.0} 
896 1 1 35.0 0.2 36.69 0.0390672 0.0504744 1.0919204 0.2974792 0.2527199 0.0209412 0.0075729 0.0 96.513669 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 35.0} 
1024 1 1 35.0 0.2 35.14 0.0325545 0.0470244 1.0760999 0.2455957 0.1692787 0.0192265 0.0058014 0.0 96.9113636 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 35.0} 
1152 1 1 35.0 0.2 35.6 0.0304048 0.0463394 1.0884816 0.2074084 0.1588183 0.0164572 0.0051368 0.0 97.055943 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 35.0} 
1280 2 2 66.5 0.38 37.96 0.0267448 0.0534137 1.0774769 0.3757393 0.224271 0.0141595 0.0048946 0.0 95.7944375 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 66.5} 
1408 2 2 66.5 0.38 36.53 0.0243519 0.0448469 1.084817 0.1858909 0.1062376 0.014709 0.005259 0.0 96.76101 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 66.5} 
1536 2 2 66.5 0.38 36.17 0.0217175 0.0396264 1.1380171 0.185164 0.0952665 0.012596 0.0046825 0.0 97.7195331 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 66.5} 
1664 2 2 66.5 0.38 36.98 0.0200716 0.0387566 1.1544397 0.1591937 0.0670897 0.0110583 0.0038541 0.0 97.4652526 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 66.5} 
1792 2 2 66.5 0.38 37.16 0.0187907 0.0366324 1.169191 0.1661256 0.0728957 0.0113498 0.0040664 0.0 97.7251716 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 66.5} 
1920 2 2 66.5 0.38 37.3 0.0165426 0.045792 1.1707956 0.1925604 0.0810913 0.0088503 0.0036971 0.0 96.0460759 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 66.5} 
2048 2 2 66.5 0.38 36.29 0.0172117 0.0361187 1.1807393 0.0977576 0.0487332 0.0098496 0.0038924 0.0 97.6575989 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 66.5} 
2176 3 3 89.85 0.6420000000000001 36.9 0.0159647 0.0352751 1.1834229 0.0829607 0.0446473 0.009053 0.0035357 0.0 97.7027496 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 89.85} 
2304 3 3 89.85 0.6420000000000001 37.28 0.0159754 0.0333574 1.2164958 0.0590171 0.0391889 0.0086404 0.0035868 0.0 98.1164728 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 89.85} 
2432 3 3 89.85 0.6420000000000001 37.17 0.0141659 0.0329561 1.2726657 0.1051983 0.0371084 0.0080166 0.0028816 0.0 98.0311105 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 89.85} 
2560 3 3 89.85 0.6420000000000001 38.06 0.013064 0.0378096 1.246173 0.0875331 0.0394894 0.0063694 0.0026973 0.0 96.9607412 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 89.85} 
2688 3 3 89.85 0.6420000000000001 37.29 0.0133849 0.0324034 1.2704733 0.0729168 0.0282733 0.0071507 0.0027714 0.0 98.0842019 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 89.85} 
2816 4 4 90.865 0.6778000000000001 37.35 0.0124073 0.0328554 1.2746939 0.0429727 0.0270901 0.0066775 0.002507 0.0 97.8049691 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 90.865} 
2944 4 4 90.865 0.6778000000000001 35.88 0.0119404 0.0312555 1.3129926 0.0436904 0.0259455 0.006569 0.0026211 0.0 98.0060119 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 90.865} 
3072 4 4 90.865 0.6778000000000001 34.8 0.0112884 0.0341439 1.3194176 0.0486242 0.0281539 0.0060311 0.0025558 0.0 97.8302226 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 90.865} 
3200 4 4 90.865 0.6778000000000001 34.94 0.0112757 0.0315473 1.2477384 0.0267037 0.0261421 0.0058769 0.0023683 0.0 97.9602316 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 90.865} 
3328 5 5 116.7785 0.8100200000000002 35.1 0.0112055 0.0285113 1.3314372 0.0337035 0.0217771 0.0060481 0.0025107 0.0 98.2221783 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 116.7785} 
3456 5 5 116.7785 0.8100200000000002 36.09 0.0108768 0.0290776 1.4570367 0.0172692 0.022159 0.0056485 0.0022084 0.0 98.2387382 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 116.7785} 
3584 5 5 116.7785 0.8100200000000002 36.4 0.0107898 0.0274686 1.5497499 0.0159544 0.0184318 0.0064003 0.0023468 0.0 98.5530698 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 116.7785} 
3712 5 5 116.7785 0.8100200000000002 36.25 0.011276 0.029528 1.519771 0.0300902 0.0198352 0.0054209 0.0022591 0.0 98.342449 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 116.7785} 
3840 5 5 116.7785 0.8100200000000002 37.0 0.0108125 0.0311217 1.4764553 0.0179761 0.0190661 0.0053011 0.0021183 0.0 98.0977964 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 116.7785} 
3968 5 5 116.7785 0.8100200000000002 37.12 0.0106999 0.0290833 1.5651543 0.0176994 0.0173152 0.005379 0.0023034 0.0 98.260478 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 116.7785} 
4096 5 5 116.7785 0.8100200000000002 37.37 0.0105195 0.0299292 1.6418313 0.0201506 0.0157478 0.005572 0.0022127 0.0 98.1324384 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 116.7785} 
4224 5 5 116.7785 0.8100200000000002 37.53 0.0097754 0.026433 1.6632578 -0.0089178 0.0164889 0.0055968 0.0020309 0.0 98.4323203 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 116.7785} 
