128 0 0 0.0 0.0 28.39 0.0661724 0.0474777 0.948547 -2.7533188 0.8056766 0.1846247 0.012294 0.0 89.3553709 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 28.02 0.0369783 0.0362347 1.0688182 -0.1997362 0.1621181 0.0421803 0.0116334 0.0 98.0113169 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 27.0 0.0249354 0.0339623 1.0711996 0.2002701 0.1301444 0.017816 0.007076 0.0 98.6595207 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 30.1 0.0188917 0.0295694 1.0820135 0.2686146 0.1044468 0.0123698 0.0048308 0.0 98.8885126 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 31.13 0.0152541 0.0275991 1.0935589 0.2529976 0.0705778 0.0093316 0.0039178 0.0 99.0029035 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 37.45 0.0123331 0.0260365 1.1135884 0.2474682 0.056155 0.00719 0.0030308 0.0 99.0331624 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 37.37 0.0102615 0.0251072 1.1202163 0.2257606 0.0429546 0.0060381 0.0027355 0.0 98.9470709 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 38.25 0.0088586 0.0242618 1.1418795 0.1948414 0.0337665 0.0048328 0.0026622 0.0 99.047676 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 39.25 0.0081831 0.0244225 1.14198 0.1633522 0.0231773 0.0047073 0.0028872 0.0 99.0178676 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 38.77 0.0072442 0.0243954 1.1277282 0.1460189 0.0174427 0.0040573 0.002392 0.0 99.0495024 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 2 2 0.0 0.0 38.25 0.0066481 0.0255528 1.1493152 0.1284846 0.0133318 0.0036738 0.0023927 0.0 98.7972765 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 37.25 0.0063362 0.0240615 1.1452185 0.1087049 0.0099124 0.0032973 0.0022808 0.0 99.004611 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 2 2 0.0 0.0 36.1 0.0055858 0.0237929 1.1724677 0.0934964 0.0073799 0.0030471 0.0020468 0.0 98.9820007 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 36.38 0.0052642 0.0244871 1.2231818 0.0779039 0.005738 0.0029297 0.0019652 0.0 98.8732848 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 35.91 0.0048832 0.0258474 1.2258972 0.0699277 0.0043411 0.0025277 0.0016523 0.0 98.8118121 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 34.24 0.0044925 0.0271701 1.2573135 0.0566301 0.0034218 0.0022433 0.0014243 0.0 98.2446292 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 34.22 0.0047096 0.0259474 1.2595161 0.048314 0.0030724 0.0024585 0.0016355 0.0 98.5800941 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 36.0 0.0043055 0.0253351 1.2704282 0.0425032 0.0023745 0.0023474 0.0016066 0.0 98.6686222 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 3 3 0.0 0.0 36.16 0.0045757 0.0248941 1.2614716 0.0365001 0.002228 0.0023681 0.0016314 0.0 98.6568665 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 3 3 0.0 0.0 37.12 0.0044314 0.0248381 1.2803672 0.0289135 0.0017522 0.0024186 0.0014792 0.0 98.6263291 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 4 4 0.0 0.0 37.86 0.0044699 0.0248535 1.3204001 0.0235473 0.0016076 0.0023016 0.0016484 0.0 98.7027869 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 4 4 0.0 0.0 37.28 0.0041837 0.0221482 1.3740685 0.0185803 0.0013901 0.002409 0.0014488 0.0 98.8721723 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 4 4 0.0 0.0 36.52 0.0049925 0.0226322 1.4150156 0.0106486 0.0023634 0.0027094 0.0032233 0.0 98.8478095 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 4 4 0.0 0.0 35.09 0.004484 0.0229242 1.3586991 0.0108924 0.0013129 0.002434 0.0016213 0.0 98.763961 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 4 4 0.0 0.0 34.09 0.0046803 0.0222624 1.3267737 0.0105575 0.0011945 0.0024549 0.001428 0.0 98.8697638 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 5 5 0.0 0.0 33.97 0.0046074 0.0215312 1.3108189 -0.0002871 0.0010137 0.0029623 0.0013897 0.0 98.9300642 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 5 5 0.0 0.0 35.79 0.0045304 0.0210959 1.3348364 0.0056237 0.0013468 0.0024587 0.0018906 0.0 98.8369485 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 5 5 0.0 0.0 36.99 0.0043672 0.020745 1.3592952 0.0048899 0.0010281 0.002479 0.001357 0.0 98.7513372 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 5 5 0.0 0.0 37.79 0.0042796 0.0195763 1.3094351 0.0051881 0.0008357 0.0023092 0.0012616 0.0 98.9113082 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 6 6 0.0 0.0 37.92 0.0041096 0.0196314 1.3143799 0.0065087 0.0007465 0.0020725 0.0010836 0.0 98.7722463 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 6 6 0.0 0.0 36.28 0.0041219 0.0196366 1.354049 0.0049365 0.0006992 0.0020275 0.0012208 0.0 99.0134855 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 6 6 0.0 0.0 35.89 0.0041895 0.0202033 1.3910088 -0.016792 0.0078305 0.0033346 0.0093086 0.0 99.0127489 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 6 6 0.0 0.0 34.16 0.0041729 0.0186062 1.3721847 0.0067609 0.0025523 0.0020878 0.0018141 0.0 98.9369391 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 7 7 0.0 0.0 34.09 0.0038538 0.0175084 1.3725383 -0.0010393 0.003326 0.0022236 0.0014845 0.0 99.1721581 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 7 7 0.0 0.0 34.87 0.0041953 0.017176 1.4124659 0.0026961 0.0026615 0.0022157 0.0013012 0.0 99.1848253 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 7 7 0.0 0.0 36.63 0.0039737 0.0179278 1.3808731 0.0005729 0.0031053 0.0022941 0.0013659 0.0 98.9688038 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 8 8 0.0 0.0 36.89 0.0038772 0.0169787 1.3916078 -0.0062836 0.0040051 0.0023217 0.0011977 0.0 99.1607891 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 8 8 0.0 0.0 38.15 0.0040532 0.0170317 1.357213 0.0064148 0.0037534 0.0020716 0.001075 0.0 99.2459405 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 8 8 0.0 0.0 39.2 0.0040773 0.0170808 1.3716765 0.0111006 0.0016744 0.0022182 0.0010318 0.0 99.2185364 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 9 9 0.0 0.0 39.09 0.003754 0.0155532 1.4386021 0.0087692 0.0010402 0.0019871 0.0009558 0.0 99.3985936 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 9 9 0.0 0.0 37.81 0.0037354 0.0170855 1.4400455 0.0082205 0.0009856 0.0019652 0.0008576 0.0 99.2520828 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 9 9 0.0 0.0 37.67 0.003676 0.0166468 1.4417289 -0.0017401 0.0005239 0.002296 0.0008486 0.0 99.3288404 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5504 10 10 0.0 0.0 37.21 0.0038084 0.0169402 1.4447327 0.0048298 0.0005035 0.0018679 0.0008787 0.0 99.1700332 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5632 10 10 0.0 0.0 36.16 0.0035348 0.0161426 1.4263658 0.0003725 0.0004627 0.0019557 0.0008522 0.0 99.217646 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5760 10 10 0.0 0.0 34.31 0.0036491 0.0148655 1.4053994 0.0036031 0.0003831 0.0017716 0.0008831 0.0 99.3328867 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5888 10 10 0.0 0.0 34.11 0.0033642 0.0153274 1.416554 0.0013924 0.0004074 0.0018511 0.0009341 0.0 99.2538168 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6016 10 10 0.0 0.0 35.5 0.0035093 0.0143391 1.4704819 0.0012682 0.0004002 0.0017899 0.0009078 0.0 99.2609186 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6144 11 11 0.0 0.0 36.31 0.0034307 0.0154117 1.4768441 -0.0002995 0.0003692 0.0018205 0.0008123 0.0 99.1969184 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6272 11 11 0.0 0.0 37.29 0.0032304 0.015397 1.4752548 0.0003108 0.000346 0.001701 0.0008138 0.0 99.2115971 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6400 11 11 0.0 0.0 38.99 0.0032119 0.0147351 1.5017197 -0.002571 0.0003083 0.0017542 0.0007918 0.0 99.2376795 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6528 12 12 0.0 0.0 38.69 0.0030789 0.01519 1.4529645 -0.0041122 0.000301 0.0018315 0.0008733 0.0 99.2544825 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6656 12 12 0.0 0.0 38.73 0.0034004 0.0145015 1.5023897 -0.0019948 0.0003368 0.001653 0.0009333 0.0 99.3275059 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6784 12 12 0.0 0.0 37.49 0.0034671 0.0155228 1.5220149 -0.0003425 0.000305 0.0015778 0.0008207 0.0 99.1845463 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6912 12 12 0.0 0.0 38.04 0.0036277 0.0145102 1.5392366 -0.0061252 0.0003164 0.0019243 0.0008133 0.0 99.3867442 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7040 12 12 0.0 0.0 36.27 0.0034369 0.0156104 1.5496087 -0.005748 0.0003224 0.0019376 0.0009507 0.0 99.2208206 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7168 12 12 0.0 0.0 35.12 0.0034158 0.0169536 1.6493897 -0.0068996 0.0003669 0.0020248 0.0010937 0.0 99.1875649 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7296 12 12 0.0 0.0 34.11 0.0034543 0.0149955 1.7411145 -0.0044971 0.0003882 0.0019482 0.0011632 0.0 99.2679396 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7424 13 13 0.0 0.0 34.32 0.0035409 0.0159154 1.7475067 -0.0017909 0.0003837 0.0017583 0.0011421 0.0 99.040241 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7552 13 13 0.0 0.0 35.44 0.0041385 0.015732 1.7029761 -0.0054433 0.0004378 0.0020982 0.0012539 0.0 99.2139392 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7680 13 13 0.0 0.0 35.12 0.0054102 0.0161238 1.7411374 -0.0212142 0.0004907 0.0030972 0.0012142 0.0 98.7930863 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7808 13 13 0.0 0.0 36.0 0.0043683 0.0155996 1.8020499 -0.0070324 0.0005015 0.0024454 0.001248 0.0 99.035203 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7936 13 13 0.0 0.0 37.67 0.0042762 0.0152114 1.7768004 -0.0013049 0.0005189 0.002032 0.0011094 0.0 99.2496638 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
8064 14 14 0.0 0.0 38.11 0.0042641 0.0149279 1.7421957 -0.0058578 0.0004998 0.0022188 0.0011772 0.0 99.2977901 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
8192 14 14 0.0 0.0 39.33 0.0043072 0.0153466 1.7368775 -0.0104201 0.0004595 0.0024691 0.0012608 0.0 99.203336 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
8320 14 14 0.0 0.0 39.14 0.0039435 0.0144361 1.8273246 -0.0026742 0.0004867 0.0020928 0.0011899 0.0 99.1539738 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
8448 14 14 0.0 0.0 39.55 0.0046819 0.014479 1.7979418 0.0001316 0.0004883 0.0019332 0.0010566 0.0 99.2794133 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
8576 15 15 0.0 0.0 38.91 0.005518 0.0131495 1.8759036 -0.0086075 0.0005527 0.0025075 0.0012741 0.0 99.3277448 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
8704 15 15 0.0 0.0 38.01 0.005092 0.0151788 1.9620035 -0.0019619 0.0005245 0.0021312 0.0010596 0.0 98.9705302 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
8832 15 15 0.0 0.0 38.11 0.0088203 0.014544 2.1159572 -0.0209556 0.0005643 0.0032794 0.0011896 0.0 99.2193869 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
8960 15 15 0.0 0.0 38.42 0.0072814 0.0149215 2.120467 -0.0166229 0.0007206 0.0032605 0.0013737 0.0 98.960469 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
