128 0 0 0.0 0.0 35.84 0.2165339 0.075146 1.2772587 -12.2638286 18.4035516 0.8277906 0.0472014 0.0 84.6107499 0.0  {'room_id': 41, 'explored_rooms': 2, 'raw_score': 0.0} 
256 0 0 0.0 0.0 35.25 0.1728964 0.0547683 1.2593875 -1.0075878 2.8139244 0.1936477 0.0294185 0.0 95.8618774 0.0  {'room_id': 41, 'explored_rooms': 2, 'raw_score': 0.0} 
384 0 0 0.0 0.0 36.29 0.1355788 0.0454553 1.1476521 0.5435803 1.4575833 0.0956734 0.0158825 0.0 97.9769221 0.0  {'room_id': 5, 'explored_rooms': 2, 'raw_score': 0.0} 
512 0 0 0.0 0.0 36.42 0.1177192 0.0432902 1.0828152 0.8279956 1.3052597 0.0695037 0.0286641 0.0 97.8612183 0.0  {'room_id': 5, 'explored_rooms': 2, 'raw_score': 0.0} 
640 0 0 0.0 0.0 37.53 0.0929643 0.0373615 1.0699661 0.8157871 1.0588706 0.0618091 0.0177389 0.0 98.2383004 0.0  {'room_id': 73, 'explored_rooms': 3, 'raw_score': 0.0} 
768 0 0 0.0 0.0 37.91 0.0786172 0.0353965 1.0957735 0.7728684 0.833292 0.0506773 0.0113199 0.0 98.3290939 0.0  {'room_id': 73, 'explored_rooms': 3, 'raw_score': 0.0} 
896 0 0 0.0 0.0 37.46 0.0723012 0.0409452 1.1502607 0.780728 0.725628 0.041693 0.0098711 0.0 96.9980175 0.0  {'room_id': 73, 'explored_rooms': 3, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 38.96 0.0642624 0.0408086 1.1809552 0.6277105 0.6147169 0.0429339 0.0087297 0.0 97.0395669 0.0  {'room_id': 127, 'explored_rooms': 4, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 38.91 0.0582588 0.0411729 1.2606466 0.6162315 0.4934482 0.0359838 0.0079311 0.0 97.1256097 0.0  {'room_id': 127, 'explored_rooms': 4, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 37.9 0.05492 0.0391327 1.265684 0.6161593 0.3889648 0.0296275 0.0071025 0.0 97.4427682 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 36.64 0.0470765 0.0362739 1.2391673 0.5581195 0.3075255 0.0265982 0.0080717 0.0 97.6443194 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1536 0 0 0.0 0.0 37.79 0.0409535 0.0336615 1.2205813 0.5049703 0.2663281 0.0244413 0.0090831 0.0 97.5786134 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1664 0 0 0.0 0.0 37.92 0.0392281 0.0332872 1.2218767 0.4742089 0.216425 0.0223603 0.0085973 0.0 97.9300404 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1792 0 0 0.0 0.0 37.85 0.0389761 0.0343996 1.2753175 0.3301175 0.1545199 0.0234053 0.0086339 0.0 97.4722589 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1920 0 0 0.0 0.0 37.26 0.0416782 0.0352014 1.2740539 0.2241548 0.1665459 0.0284235 0.0071103 0.0 97.3693095 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
2048 0 0 0.0 0.0 36.06 0.0436795 0.0338906 1.2871248 0.1885054 0.1290169 0.0259485 0.0077564 0.0 97.8143624 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
2176 0 0 0.0 0.0 34.52 0.0461278 0.0336766 1.2635758 0.1909934 0.1268869 0.0249031 0.0078106 0.0 98.1090665 0.0  {'room_id': 73, 'explored_rooms': 5, 'raw_score': 0.0} 
2304 0 0 0.0 0.0 35.57 0.0446068 0.0310321 1.2910213 0.1430458 0.1276783 0.0263091 0.0072609 0.0 98.3802579 0.0  {'room_id': 73, 'explored_rooms': 5, 'raw_score': 0.0} 
2432 0 0 0.0 0.0 35.59 0.0386282 0.0273467 1.2515448 0.1047838 0.1338306 0.0267227 0.0076778 0.0 98.5450561 0.0  {'room_id': 5, 'explored_rooms': 5, 'raw_score': 0.0} 
2560 0 0 0.0 0.0 36.53 0.0381734 0.0282109 1.2617283 0.1856674 0.1204567 0.0232168 0.0060272 0.0 98.6404878 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
2688 0 0 0.0 0.0 37.59 0.0390103 0.0288969 1.2941446 0.0836258 0.0812225 0.0233705 0.0077202 0.0 98.7507349 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
2816 1 1 10.0 0.1 38.98 0.034887 0.0303374 1.3465244 0.195331 0.1378643 0.0271249 0.003956 0.0 98.0453938 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 10.0} 
2944 1 1 10.0 0.1 37.5 0.0385956 0.0315313 1.2563386 -0.0210711 0.0877283 0.0330184 0.0071169 0.0 98.2947682 0.0  {'room_id': 80, 'explored_rooms': 6, 'raw_score': 10.0} 
3072 1 1 10.0 0.1 38.26 0.0391685 0.0304111 1.3253004 -0.0712469 0.0897358 0.0273628 0.0076844 0.0 98.4264547 0.0  {'room_id': 42, 'explored_rooms': 13, 'raw_score': 10.0} 
