128 0 0 0.0 0.0 29.67 0.0483307 0.0472294 0.9514508 -3.1466689 1.5302018 0.2152257 0.0812724 0.0 88.1693675 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 27.66 0.0466268 0.0444958 1.0665704 -1.0575601 0.7661739 0.0958614 0.0241088 0.0 96.0965382 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 27.79 0.0659888 0.0410802 1.1021863 -0.3595062 0.3585332 0.0680441 0.0162232 0.0 97.3896833 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 29.74 0.0800793 0.0337453 1.1372416 -0.1717609 0.2627672 0.0580607 0.0138873 0.0 98.9140935 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 32.72 0.0688988 0.0290736 1.1575517 0.0068056 0.290556 0.048558 0.0169807 0.0 99.0473189 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 38.84 0.053182 0.0232239 1.1820996 0.1277042 0.233839 0.0377387 0.0170189 0.0 99.7574684 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
896 0 0 0.0 0.0 39.75 0.0490918 0.0215753 1.192326 0.2169334 0.2211227 0.0299694 0.0211786 0.0 99.5916589 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 35.99 0.0413733 0.0200677 1.2078059 0.2380582 0.2045168 0.0249202 0.0178533 0.0 99.6782469 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 36.79 0.0340772 0.018158 1.2334352 0.2744231 0.1695358 0.0204755 0.0152945 0.0 99.8444832 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 36.06 0.0274035 0.0168872 1.2665777 0.2859966 0.1778893 0.0164502 0.0124618 0.0 99.8636821 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 36.18 0.0220274 0.0169832 1.2748425 0.2780074 0.1353773 0.0133321 0.0109792 0.0 99.674893 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 0 0 0.0 0.0 36.41 0.0197892 0.0148344 1.2854911 0.2598473 0.1037352 0.0113799 0.0090601 0.0 99.9266434 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 0 0 0.0 0.0 36.78 0.0176195 0.0145672 1.2978147 0.2431599 0.1189357 0.0102649 0.0085462 0.0 99.8265919 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 0 0 0.0 0.0 37.06 0.0166999 0.0154771 1.3086089 0.2094548 0.0860842 0.0093753 0.0088283 0.0 99.8629196 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 0 0 0.0 0.0 35.77 0.0162176 0.015172 1.3239461 0.1742089 0.1349855 0.0105879 0.0180968 0.0 99.8279964 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 0 0 0.0 0.0 35.37 0.0158604 0.0146568 1.2975792 0.1664358 0.0838352 0.009069 0.0123561 0.0 99.888661 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 0 0 0.0 0.0 35.52 0.0134572 0.0139043 1.2947693 0.1601777 0.0643507 0.0075171 0.0069751 0.0 99.8731821 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
