128 0 0 0.0 0.0 5.28 0.1449612 0.0721073 1.4597475 -13.35789 29.4760191 0.9066321 0.0002166 0.0 85.0664416 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 1 1 0.0 0.0 4.91 0.0289797 0.0716112 1.3862405 0.9252889 5.7041296 0.0896733 0.0109414 0.0 91.7385098 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 1 1 0.0 0.0 4.74 0.0145807 0.0691522 1.6685798 1.8468896 2.9728394 0.0139405 0.0067453 0.0 92.370546 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 1 1 0.0 0.0 4.77 0.0112242 0.0636033 1.6945287 1.5892778 1.866324 0.0066381 0.0040787 0.0 93.3825391 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 1 1 0.0 0.0 4.82 0.0084637 0.0657757 1.7867373 1.2953774 1.0501345 0.0049188 0.0020928 0.0 92.9296626 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 1 1 0.0 0.0 4.8 0.0069603 0.0641642 1.9114469 1.134007 0.7888018 0.0039462 0.000988 0.0 93.2005109 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 1 1 0.0 0.0 4.83 0.0065021 0.0597209 2.1378574 0.8993085 0.3896637 0.003177 0.0009236 0.0 93.7507029 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 1 1 0.0 0.0 4.74 0.0062389 0.0621458 2.312273 0.857403 0.5282873 0.0028543 0.0006465 0.0 93.3729886 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 1 1 0.0 0.0 4.77 0.0057483 0.0698182 2.1705311 0.6685614 0.2786634 0.0028334 0.0005234 0.0 92.4553746 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 2 2 0.0 0.0 4.82 0.0051466 0.0606359 1.9528865 0.5617682 0.205092 0.00296 0.0005761 0.0 93.523742 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 2 2 0.0 0.0 4.8 0.004926 0.0651842 1.7883599 0.4886273 0.1585311 0.0027066 0.0004917 0.0 93.0116786 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 2 2 0.0 0.0 4.71 0.0052153 0.0620727 2.2916168 0.3991847 0.0991436 0.0023879 0.0004626 0.0 93.3529227 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 2 2 0.0 0.0 4.73 0.0049721 0.0601623 2.4934768 0.3175788 0.0682829 0.0029713 0.0004764 0.0 93.635403 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 2 2 0.0 0.0 4.78 0.0046666 0.0582621 2.7022368 0.2645281 0.0437249 0.0023223 0.00056 0.0 93.8271335 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 2 2 0.0 0.0 4.73 0.0047941 0.0594555 2.5157466 0.2104744 0.0269639 0.002284 0.0004314 0.0 93.7393373 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 2 2 0.0 0.0 4.76 0.0044394 0.0582584 2.1964182 0.1999658 0.0337846 0.0024991 0.0004844 0.0 93.8250756 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 2 2 0.0 0.0 4.8 0.0052636 0.0583857 2.1530921 0.1588636 0.0202545 0.0021376 0.0004233 0.0 93.7246077 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 3 3 0.0 0.0 4.81 0.005266 0.0560132 2.18667 0.1291153 0.0163288 0.0025563 0.0004344 0.0 94.0176124 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 3 3 0.0 0.0 4.76 0.0054913 0.0628109 2.296234 0.1015055 0.010771 0.0026301 0.0007251 0.0 93.048716 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2560 3 3 0.0 0.0 4.74 0.0060986 0.0553119 2.1338504 0.0817379 0.0077677 0.0027588 0.0006571 0.0 93.9974481 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2688 3 3 0.0 0.0 4.68 0.0064617 0.0541599 2.081876 0.0660874 0.0064074 0.0029402 0.0007194 0.0 93.9836151 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2816 3 3 0.0 0.0 4.8 0.0059877 0.0518988 1.9063644 0.0480961 0.0047954 0.0031749 0.0008501 0.0 94.2578787 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2944 3 3 0.0 0.0 5.21 0.0060458 0.0559236 2.0126457 0.0381834 0.0030743 0.0030245 0.0008441 0.0 93.7394128 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 3 3 0.0 0.0 6.46 0.0063811 0.0544735 1.8700923 0.0390616 0.0045197 0.0031638 0.0007444 0.0 93.8885121 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 3 3 0.0 0.0 6.51 0.0059057 0.054977 1.6442333 0.0268301 0.0029479 0.0030757 0.0007011 0.0 93.8499371 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3328 4 4 0.0 0.0 6.54 0.0060843 0.0524444 1.6976846 0.0246807 0.003214 0.0030804 0.0006845 0.0 94.1479481 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3456 4 4 0.0 0.0 6.55 0.0058155 0.0557494 1.8319674 0.0242373 0.0022304 0.0025949 0.0007055 0.0 93.5889841 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3584 4 4 0.0 0.0 6.65 0.00602 0.0576419 1.9144471 0.0122248 0.0021599 0.0031204 0.0016807 0.0 93.5393576 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 5 5 0.0 0.0 6.59 0.0060369 0.0545858 1.7105783 0.0162681 0.0020601 0.0027275 0.0010165 0.0 93.9361828 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 5 5 0.0 0.0 6.55 0.006542 0.056068 1.9348277 0.0027681 0.0016844 0.0033031 0.0011073 0.0 93.7677075 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 5 5 0.0 0.0 6.51 0.0063219 0.0510365 1.8366656 0.0011953 0.0015424 0.0033832 0.0012329 0.0 94.4733751 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 5 5 0.0 0.0 6.63 0.0068086 0.0495511 1.7949182 0.0071592 0.0025623 0.0032256 0.0020829 0.0 94.7529811 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
